POBLACIONES ECUATORIANAS Y VALOR DEL FACTOR Z
Tabla 19 - NEC (Norma Ecuatoriana de la Construcción)
================================================================================
POBLACIÓN                        PARROQUIA                        CANTÓN                    PROVINCIA            Z
GENERAL LEONIDAS PLAZA GUTIERREZ GRAL. LEONIDAS PLAZA GUTIERREZ  LIMON INDANZA             MORONA SANTIAGO      0.30
SANTIAGO DE MENDEZ               SANTIAGO DE MENDEZ               SANTIAGO                  MORONA SANTIAGO      0.30
SUCUA                            SUCUA                            SUCUA                     MORONA SANTIAGO      0.30
MACAS                            MACAS                            MORONA                    MORONA SANTIAGO      0.30
CUYUJA                           CUYUJA                           QUIJOS                    NAPO                 0.40
SAN FRANCISCO DE BORJA           SAN FRANCISCO DE BORJA           QUIJOS                    NAPO                 0.40
EL CHACO                         EL CHACO                         EL CHACO                  NAPO                 0.40
BAEZA                            BAEZA                            QUIJOS                    NAPO                 0.40
PAPALLACTA                       PAPALLACTA                       QUIJOS                    NAPO                 0.40
ARCHIDONA                        ARCHIDONA                        ARCHIDONA                 NAPO                 0.35
COTUNDO                          COTUNDO                          ARCHIDONA                 NAPO                 0.35
TENA                             TENA                             TENA                      NAPO                 0.35
LA JOYA DE LOS SACHAS            LA JOYA DE LOS SACHAS            LA JOYA DE LOS SACHAS     ORELLANA             0.15
TARACOA                          TARACOA                          ORELLANA                  ORELLANA             0.15
NUEVO ROCAFUERTE                 NUEVO ROCAFUERTE                 AGUARICO                  ORELLANA             0.15
TIPUTINI                         TIPUTINI                         AGUARICO                  ORELLANA             0.15
PAYAMINO                         PUERTO FRANCISCO DE ORELLANA     ORELLANA                  ORELLANA             0.25
SAN SEBASTIAN DEL COCA           SAN SEBASTIAN DEL COCA           LA JOYA DE LOS SACHAS     ORELLANA             0.25
PUERTO FRANCISCO DE ORELLANA     PUERTO FRANCISCO DE ORELLANA     ORELLANA                  ORELLANA             0.25
SHELL                            SHELL                            MERA                      PASTAZA              0.30
PUYO                             PUYO                             PASTAZA                   PASTAZA              0.30
MERA                             MERA                             MERA                      PASTAZA              0.35
SIMON BOLIVAR                    PUERTO QUITO                     PUERTO QUITO              PICHINCHA            0.50
BUENOS AIRES                     PUERTO QUITO                     PUERTO QUITO              PICHINCHA            0.50
EL QUINCHE                       EL QUINCHE                       QUITO                     PICHINCHA            0.40
SAN ANTONIO DE PICHINCHA         SAN ANTONIO                      QUITO                     PICHINCHA            0.40
CUMBAYA                          CUMBAYA                          QUITO                     PICHINCHA            0.40
ARMENIA                          GUANGOPOLO                       QUITO                     PICHINCHA            0.40
UYUMBICHO                        AMAGUAÑA                         QUITO                     PICHINCHA            0.40
ALOAG                            ALOAG                            MEJIA                     PICHINCHA            0.40
CANGAGHUA                        CANGAHUA                         CAYAMBE                   PICHINCHA            0.40
GUAYLLABAMBA                     GUAYLLABAMBA                     QUITO                     PICHINCHA            0.40
ASCAZUBI                         ASCAZUBI                         CAYAMBE                   PICHINCHA            0.40
POMASQUI                         POMASQUI                         QUITO                     PICHINCHA            0.40
CALDERON                         CALDERON (CARAPUNGO)             QUITO                     PICHINCHA            0.40
NAYON                            NAYON                            QUITO                     PICHINCHA            0.40
ZAMBIZA                          ZAMBIZA                          QUITO                     PICHINCHA            0.40
YARUQUI                          YARUQUI                          QUITO                     PICHINCHA            0.40
CHECA                            CHECA (CHILPA)                   QUITO                     PICHINCHA            0.40
ALOAG                            MACHACHI                         MEJIA                     PICHINCHA            0.40
AMAGUAÑA                         AMAGUAÑA                         QUITO                     PICHINCHA            0.40
PINTAG                           PINTAG                           QUITO                     PICHINCHA            0.40
LA MERCED                        LA MERCED                        QUITO                     PICHINCHA            0.40
PUEMBO                           PUEMBO                           QUITO                     PICHINCHA            0.40
TABABELA                         TABABELA                         QUITO                     PICHINCHA            0.40
LLANO GRANDE                     CALDERON (CARAPUNGO)             QUITO                     PICHINCHA            0.40
MACHACHI                         MACHACHI                         MEJIA                     PICHINCHA            0.40
ANGUMBA                          TABACUNDO                        PEDRO MONCAYO             PICHINCHA            0.40
HUAYCUPATA                       CAYAMBE                          CAYAMBE                   PICHINCHA            0.40
NANEGAL                          NANEGAL                          QUITO                     PICHINCHA            0.40
GUALEA                           GUALEA                           QUITO                     PICHINCHA            0.40
TUPIGACHI                        TUPIGACHI                        PEDRO MONCAYO             PICHINCHA            0.40
CAYAMBE                          CAYAMBE                          CAYAMBE                   PICHINCHA            0.40
JUAN MONTALVO                    CAYAMBE                          CAYAMBE                   PICHINCHA            0.40
TABACUNDO                        TABACUNDO                        PEDRO MONCAYO             PICHINCHA            0.40
LA ESPERANZA                     LA ESPERANZA                     PEDRO MONCAYO             PICHINCHA            0.40
GUARAQUI                         LA ESPERANZA                     PEDRO MONCAYO             PICHINCHA            0.40
TOCACHI                          TOCACHI                          PEDRO MONCAYO             PICHINCHA            0.40
MALCHINGUI                       MALCHINGUI                       PEDRO MONCAYO             PICHINCHA            0.40
PERUCHO                          PERUCHO                          QUITO                     PICHINCHA            0.40
PUELLARO                         PUELLARO                         QUITO                     PICHINCHA            0.40
ALCHIPICHI                       PUELLARO                         QUITO                     PICHINCHA            0.40
PULULAHUA                        CALACALI                         QUITO                     PICHINCHA            0.40
CASPIGASI DEL CARMEN             SAN ANTONIO                      QUITO                     PICHINCHA            0.40
CALACALI                         CALACALI                         QUITO                     PICHINCHA            0.40
OLMEDO                           OLMEDO (PECILLO)                 CAYAMBE                   PICHINCHA            0.40
ATAHUALPA                        ATAHUALPA (HABASPAMBA)           QUITO                     PICHINCHA            0.40
SAN JOSE DE MINAS                SAN JOSE DE MINAS                QUITO                     PICHINCHA            0.40
SAN MIGUEL DE LOS BANCOS         SAN MIGUEL DE LOS BANCOS         SAN MIGUEL DE LOS BANCOS  PICHINCHA            0.40
NANEGALITO                       NANEGALITO                       QUITO                     PICHINCHA            0.40
AYORA                            CAYAMBE                          CAYAMBE                   PICHINCHA            0.40
SANGOLQUI                        SANGOLQUI                        RUMIÑAHUI                 PICHINCHA            0.40
PUERTO QUITO                     PUERTO QUITO                     PUERTO QUITO              PICHINCHA            0.40
PEDRO VICENTE MALDONADO          PEDRO VICENTE MALDONADO          PEDRO VICENTE MALDONADO   PICHINCHA            0.40
TUMBACO                          TUMBACO                          QUITO                     PICHINCHA            0.40
PIFO                             PIFO                             QUITO                     PICHINCHA            0.40
TAMBILLO                         TAMBILLO                         MEJIA                     PICHINCHA            0.40
SANTA ROSA                       CONOCOTO                         QUITO                     PICHINCHA            0.40
SAN RAFAEL                       AMAGUAÑA                         QUITO                     PICHINCHA            0.40
CONOCOTO                         CONOCOTO                         QUITO                     PICHINCHA            0.40
QUITO                            POMASQUI                         QUITO                     PICHINCHA            0.40
ALANGASI                         ALANGASI                         QUITO                     PICHINCHA            0.40
SAN PABLO                        SANTA ELENA                      SANTA ELENA               SANTA ELENA          0.50
ATAHUALPA                        ATAHUALPA                        SANTA ELENA               SANTA ELENA          0.50
SANTA ELENA                      SANTA ELENA                      SANTA ELENA               SANTA ELENA          0.50
SAN JOSE                         MANGLARALTO                      SANTA ELENA               SANTA ELENA          0.50
LA CURIA                         MANGLARALTO                      SANTA ELENA               SANTA ELENA          0.50
OLON                             MANGLARALTO                      SANTA ELENA               SANTA ELENA          0.50
MONTAÑITA                        MANGLARALTO                      SANTA ELENA               SANTA ELENA          0.50
EL MAMEY                         MANGLARALTO                      SANTA ELENA               SANTA ELENA          0.50
FEBRES CORDERO                   COLONCHE                         SANTA ELENA               SANTA ELENA          0.50
BAMBIL CALLAO                    COLONCHE                         SANTA ELENA               SANTA ELENA          0.50
BARCELONA                        COLONCHE                         SANTA ELENA               SANTA ELENA          0.50
SAN PEDRO DE VALDIVIA            MANGLARALTO                      SANTA ELENA               SANTA ELENA          0.50
AYANGUE                          COLONCHE                         SANTA ELENA               SANTA ELENA          0.50
SINCAL                           MANGLARALTO                      SANTA ELENA               SANTA ELENA          0.50
MANGLARALTO                      MANGLARALTO                      SANTA ELENA               SANTA ELENA          0.50
LA LIBERTAD                      SALINAS                          SALINAS                   SANTA ELENA          0.50
SALINAS                          SALINAS                          SALINAS                   SANTA ELENA          0.50
SANTA MARIA DEL TOACHI           SANTA MARIA DEL TOACHI           SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.35
LUZ DE AMERICA                   LUZ DE AMERICA                   SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
PUERTO LIMON                     PUERTO LIMON                     SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
EL ESFUERZO                      EL ESFUERZO                      SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
SAN JACINTO DE BUA               SAN JACINTO DEL BUA              SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
VALLE HERMOSO                    VALLE HERMOSO                    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
CRISTOBAL COLON                  VALLE HERMOSO                    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
NUEVO ISRAEL                     STO. DOMINGO DE LOS COLORADOS    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
LAS DELICIAS                     STO. DOMINGO DE LOS COLORADOS    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
LA AURORA                        STO. DOMINGO DE LOS COLORADOS    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
JULIO MORENO                     STO. DOMINGO DE LOS COLORADOS    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
UNION CIVICA POPULAR             STO. DOMINGO DE LOS COLORADOS    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
SUSANITA                         STO. DOMINGO DE LOS COLORADOS    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
EULOGIO                          STO. DOMINGO DE LOS COLORADOS    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
SANTO DOMINGO DE LOS COLORADOS   STO. DOMINGO DE LOS COLORADOS    SANTO DOMINGO             STO. DOMINGO DE LOS TSACHILAS  0.40
SHUSHUFINDI                      SHUSHUFINDI                      SHUSHUFINDI               SUCUMBIOS            0.15
SIETE DE JULIO                   SIETE DE JULIO                   SHUSHUFINDI               SUCUMBIOS            0.15
EL ENO                           EL ENO                           LAGO AGRIO                SUCUMBIOS            0.15
AGUARICO                         PACAYACU                         LAGO AGRIO                SUCUMBIOS            0.15
CHIRITZA                         TARAPOA                          CUYABENO                  SUCUMBIOS            0.15
SAN PEDRO DE LOS COFANES         SAN PEDRO DE LOS COFANES         SHUSHUFINDI               SUCUMBIOS            0.15
JIVINO                           SAN PEDRO DE LOS COFANES         SHUSHUFINDI               SUCUMBIOS            0.15
PUERTO EL CARMEN DEL PUTUMAYO    PUERTO EL CARMEN DEL PUTUMAYO    PUTUMAYO                  SUCUMBIOS            0.15
PUERTO AGUARICO                  NUEVA LOJA                       LAGO AGRIO                SUCUMBIOS            0.15
SANTA CECILIA                    SANTA CECILIA                    LAGO AGRIO                SUCUMBIOS            0.15
GENERAL FARFAN                   GENERAL FARFAN                   LAGO AGRIO                SUCUMBIOS            0.15
SAN MIGUEL                       GENERAL FARFAN                   LAGO AGRIO                SUCUMBIOS            0.15
NUEVA LOJA                       NUEVA LOJA                       LAGO AGRIO                SUCUMBIOS            0.15
SANTA ROSA                       NUEVA LOJA                       LAGO AGRIO                SUCUMBIOS            0.15
JAMBELI                          JAMBELI                          LAGO AGRIO                SUCUMBIOS            0.25
SEVILLA                          SEVILLA                          CASCALES                  SUCUMBIOS            0.25
EL DORADO DE CASCALES            EL DORADO DE CASCALES            CASCALES                  SUCUMBIOS            0.30
EL DORADO DE CASCALES            LUMBAQUI                         GONZALO PIZARRO           SUCUMBIOS            0.30
COMUNA TAMBO LOMA                PILAGUIN (PILAHUIN)              AMBATO                    TUNGURAHUA           0.35
CORAZON DE JESUS                 IZAMBA                           AMBATO                    TUNGURAHUA           0.40
URBANIZACION AEROPUERTO          IZAMBA                           AMBATO                    TUNGURAHUA           0.40
PILAHUIN                         PILAGUIN (PILAHUIN)              AMBATO                    TUNGURAHUA           0.40
QUINSAPINCHA                     QUISAPINCHA (QUIZAPINCHA)        AMBATO                    TUNGURAHUA           0.40
JUAN BENIGNO VELA                JUAN BENIGNO VELA                AMBATO                    TUNGURAHUA           0.40
MARTINEZ                         AUGUSTO N. MARTINEZ              AMBATO                    TUNGURAHUA           0.40
SAN ISIDRO                       PICAIGUA                         AMBATO                    TUNGURAHUA           0.40
TOTORAS                          TOTORAS                          AMBATO                    TUNGURAHUA           0.40
AMBATILLO                        AMBATILLO                        AMBATO                    TUNGURAHUA           0.40
ATAHUALPA                        ATAHUALPA (CHISALATA)            AMBATO                    TUNGURAHUA           0.40
IZAMBA                           IZAMBA                           AMBATO                    TUNGURAHUA           0.40
SAN MIGUELITO                    SAN MIGUELITO                    SANTIAGO DE PILLARO       TUNGURAHUA           0.40
HUACHI GRANDE                    HUACHI GRANDE                    AMBATO                    TUNGURAHUA           0.40
SANTA ROSA                       SANTA ROSA                       AMBATO                    TUNGURAHUA           0.40
AMBATO                           AMBATO                           AMBATO                    TUNGURAHUA           0.40
PELILEO GRANDE                   PELILEO                          SAN PEDRO DE PELILEO      TUNGURAHUA           0.40
SAN ANTONIO DE PASA              PASA                             AMBATO                    TUNGURAHUA           0.40
SAN BARTOLOME DE PINLLOG         SAN BARTOLOME DE PINLLOG         AMBATO                    TUNGURAHUA           0.40
PATATE                           PATATE                           PATATE                    TUNGURAHUA           0.40
SAN FERNANDO                     SAN FERNANDO                     AMBATO                    TUNGURAHUA           0.40
EMILIO M. TERAN                  EMILIO MARIA TERAN (RUMIPAMBA)   SANTIAGO DE PILLARO       TUNGURAHUA           0.40
MARCOS ESPINEL                   MARCOS ESPINEL (CHACATA)         SANTIAGO DE PILLARO       TUNGURAHUA           0.40
BAÑOS DE AGUA SANTA              BAÑOS DE AGUA SANTA              BAÑOS DE AGUA SANTA       TUNGURAHUA           0.40
ULBA                             ULBA                             BAÑOS DE AGUA SANTA       TUNGURAHUA           0.40
RIO VERDE                        RIO VERDE                        BAÑOS DE AGUA SANTA       TUNGURAHUA           0.40
GUAMBALO                         GUAMBALO (HUAMBALO)              SAN PEDRO DE PELILEO      TUNGURAHUA           0.40
TISALEO                          TISALEO                          TISALEO                   TUNGURAHUA           0.40
CEVALLOS                         CEVALLOS                         CEVALLOS                  TUNGURAHUA           0.40
QUERO                            QUERO                            QUERO                     TUNGURAHUA           0.40
RUMIPAMBA                        RUMIPAMBA                        QUERO                     TUNGURAHUA           0.40
COTALO                           COTALO                           SAN PEDRO DE PELILEO      TUNGURAHUA           0.40
SAN ANDRES                       SAN ANDRES                       SANTIAGO DE PILLARO       TUNGURAHUA           0.40
CUNCHIBAMBA                      CUNCHIBAMBA                      AMBATO                    TUNGURAHUA           0.40
SAN JOSE DE POALO                SAN JOSE DE POALO                SANTIAGO DE PILLARO       TUNGURAHUA           0.40
EL TRIUNFO                       EL TRIUNFO                       PATATE                    TUNGURAHUA           0.40
SUCRE                            LOS ANDES (CAB EN POATUG)        PATATE                    TUNGURAHUA           0.40
MOCHA                            MOCHA                            MOCHA                     TUNGURAHUA           0.40
PELILEO                          PELILEO                          SAN PEDRO DE PELILEO      TUNGURAHUA           0.40
PILLARO                          PILLARO                          SANTIAGO DE PILLARO       TUNGURAHUA           0.40
GUAYZIMI                         GUAYZIMI                         NANGARITZA                ZAMORA CHINCHIPE     0.30
YANTZAZA                         YANTZAZA (YANZATZA)              YANTZAZA                  ZAMORA CHINCHIPE     0.30
ZUMBA                            ZUMBA                            CHINCHIPE                 ZAMORA CHINCHIPE     0.25
ZAMORA                           ZAMORA                           ZAMORA                    ZAMORA CHINCHIPE     0.25
LAS GOLONDRINAS                  LAS GOLONDRINAS                  LAS GOLONDRINAS           ZONA NO DELIMITADA   0.50
SANTA MARIA                      MANGA DEL CURA                   MANGA DEL CURA            ZONA NO DELIMITADA   0.40
SANTA TERESA                     MANGA DEL CURA                   MANGA DEL CURA            ZONA NO DELIMITADA   0.40
================================================================================
Fuente: NEC - Norma Ecuatoriana de la Construccion
